bench., WCET, st. stored, st. explored, CPU time (ms), virt. mem. (KiB), res. mem. (KiB), cache hit, cache miss, OK stat. pred. T, KO stat. pred. T, OK stat. pred. NT, KO stat. pred. NT, OK dyn. pred. T, KO dyn. pred. T, OK dyn. pred. NT, KO dyn. pred. NT, KO dyn. pred. @, BTB overwites 
bs-O1, 315, 586, 587, 10, 47740, 12684, 115, 6, 0, 0, 4, 15, 0, 0, 0, 0, 0, 0 
bs-O2, 236, 451, 452, 0, 47268, 12140, 86, 5, 0, 0, 6, 10, 0, 0, 0, 0, 0, 0 
bsort100-O1, 5774, 12457, 12458, 130, 51568, 29192, 3307, 9, 0, 0, 2, 402, 0, 0, 0, 0, 0, 0 
bsort100-O2, 5507, 11982, 11983, 130, 50900, 27868, 3199, 10, 0, 0, 99, 303, 0, 0, 0, 0, 0, 0 
cnt-O2, 4204, 11279, 11280, 110, 52576, 30504, 3478, 14, 0, 0, 122, 205, 0, 0, 0, 0, 0, 0 
crc-O1, 63979, 157612, 157613, 1600, 573396, 550048, 46735, 21, 0, 0, 2568, 9387, 0, 0, 0, 0, 0, 0 
crc-O2, 55609, 144653, 144654, 1570, 502904, 494760, 44448, 19, 0, 0, 3158, 6493, 0, 0, 0, 0, 0, 0 
expint-O1, 2304, 5967, 5968, 40, 54768, 22236, 1780, 14, 0, 0, 3, 354, 0, 0, 0, 0, 0, 0 
expint-O2, 1457, 4118, 4119, 40, 47004, 13860, 1308, 5, 0, 0, 100, 104, 0, 0, 0, 0, 0, 0 
fdct-O1, 4105, 6823, 6824, 50, 56844, 23804, 1272, 24, 0, 0, 2, 19, 0, 0, 0, 0, 0, 0 
fdct-O2, 4283, 7080, 7081, 50, 58540, 25532, 1299, 27, 0, 0, 2, 19, 0, 0, 0, 0, 0, 0 
fibcall-O1, 409, 949, 950, 10, 47020, 12104, 253, 5, 0, 0, 27, 35, 0, 0, 0, 0, 0, 0 
fibcall-O2, 257, 590, 591, 0, 46008, 11000, 154, 3, 0, 0, 1, 32, 0, 0, 0, 0, 0, 0 
fir-O1, 342157, 728321, 728322, 4770, 690000, 655628, 193041, 11, 0, 0, 1418, 12453, 0, 0, 0, 0, 0, 0 
fir-O2, 329716, 692704, 692705, 4430, 613228, 608412, 181454, 11, 0, 0, 2082, 11789, 0, 0, 0, 0, 0, 0 
insertsort-O2, 1701, 2995, 2996, 20, 48192, 14116, 615, 8, 0, 0, 26, 40, 0, 0, 0, 0, 0, 0 
janne_complex-O1, 376, 779, 780, 10, 47544, 12512, 181, 6, 0, 0, 14, 41, 0, 0, 0, 0, 0, 0 
janne_complex-O2, 310, 594, 595, 0, 47696, 12572, 117, 6, 0, 0, 13, 18, 0, 0, 0, 0, 0, 0 
jfdctint-O1, 5536, 11121, 11122, 100, 58312, 31636, 2702, 25, 0, 0, 3, 82, 0, 0, 0, 0, 0, 0 
jfdctint-O2, 5702, 11349, 11350, 100, 60360, 33796, 2712, 29, 0, 0, 3, 82, 0, 0, 0, 0, 0, 0 
ns-O1, 11833, 32482, 32483, 250, 64836, 44964, 10288, 9, 0, 0, 374, 1067, 0, 0, 0, 0, 0, 0 
ns-O2, 11329, 31229, 31230, 230, 60760, 40276, 9919, 7, 0, 0, 781, 627, 0, 0, 0, 0, 0, 0 
prime-O1, 4159, 12072, 12073, 80, 49884, 26560, 3925, 8, 0, 0, 437, 437, 0, 0, 0, 0, 0, 0 
prime-O2, 4164, 12056, 12057, 80, 49244, 25564, 3915, 8, 0, 0, 435, 437, 0, 0, 0, 0, 0, 0 
ud-O2, 5581, 11305, 11306, 380, 507716, 491300, 2745, 30, 0, 0, 112, 144, 0, 0, 0, 0, 0, 0 
