bench., WCET, st. stored, st. explored, CPU time (ms), virt. mem. (KiB), res. mem. (KiB), cache hit, cache miss, OK stat. pred. T, KO stat. pred. T, OK stat. pred. NT, KO stat. pred. NT, OK dyn. pred. T, KO dyn. pred. T, OK dyn. pred. NT, KO dyn. pred. NT, KO dyn. pred. @, BTB overwites 
bs-O1, 312, 575, 576, 0, 47740, 12680, 111, 6, 5, 1, 3, 10, 0, 0, 0, 0, 0, 0 
bs-O2, 231, 440, 441, 10, 47268, 12128, 82, 5, 5, 1, 5, 5, 0, 0, 0, 0, 0, 0 
bsort100-O1, 5520, 11807, 11808, 130, 51568, 28448, 3109, 9, 200, 2, 0, 202, 0, 0, 0, 0, 0, 0 
bsort100-O2, 5408, 11507, 11508, 120, 50768, 27316, 3011, 10, 199, 1, 98, 104, 0, 0, 0, 0, 0, 0 
cnt-O2, 4095, 11014, 11015, 120, 52576, 30248, 3401, 14, 201, 22, 100, 4, 0, 0, 0, 0, 0, 0 
crc-O1, 59778, 145076, 145077, 1550, 505772, 493952, 42571, 20, 4689, 516, 2052, 4698, 0, 0, 0, 0, 0, 0 
crc-O2, 52171, 133381, 133382, 1440, 469472, 447100, 40527, 19, 4435, 512, 2646, 2058, 0, 0, 0, 0, 0, 0 
expint-O1, 2139, 5504, 5505, 50, 54632, 21940, 1632, 14, 150, 2, 1, 204, 0, 0, 0, 0, 0, 0 
expint-O2, 1350, 3815, 3816, 30, 46876, 13672, 1209, 5, 100, 1, 99, 4, 0, 0, 0, 0, 0, 0 
fdct-O1, 4066, 6817, 6818, 50, 56844, 23824, 1289, 24, 16, 2, 0, 3, 0, 0, 0, 0, 0, 0 
fdct-O2, 4249, 7074, 7075, 50, 58540, 25552, 1312, 27, 16, 2, 0, 3, 0, 0, 0, 0, 0, 0 
fibcall-O1, 382, 860, 861, 0, 47020, 12044, 222, 5, 30, 0, 27, 5, 0, 0, 0, 0, 0, 0 
fibcall-O2, 221, 500, 501, 0, 46012, 10948, 126, 3, 29, 1, 0, 3, 0, 0, 0, 0, 0, 0 
fir-O1, 331111, 706363, 706364, 4640, 651276, 636676, 187585, 11, 11749, 700, 718, 704, 0, 0, 0, 0, 0, 0 
fir-O2, 318652, 670424, 670425, 4290, 611236, 593044, 175845, 11, 11767, 700, 1382, 22, 0, 0, 0, 0, 0, 0 
insertsort-O2, 1675, 3044, 3045, 20, 48192, 14164, 658, 7, 37, 9, 17, 3, 0, 0, 0, 0, 0, 0 
janne_complex-O1, 365, 744, 745, 10, 47540, 12484, 169, 6, 14, 2, 12, 27, 0, 0, 0, 0, 0, 0 
janne_complex-O2, 320, 593, 594, 10, 47696, 12572, 114, 6, 12, 9, 4, 6, 0, 0, 0, 0, 0, 0 
jfdctint-O1, 5532, 11019, 11020, 90, 58308, 31540, 2653, 25, 79, 3, 0, 3, 0, 0, 0, 0, 0, 0 
jfdctint-O2, 5667, 11248, 11249, 110, 60360, 33716, 2678, 29, 79, 3, 0, 3, 0, 0, 0, 0, 0, 0 
ns-O1, 11517, 31571, 31572, 230, 64832, 44668, 9994, 9, 532, 250, 124, 535, 0, 0, 0, 0, 0, 0 
ns-O2, 10845, 29802, 29803, 220, 60760, 39636, 9456, 5, 625, 156, 625, 2, 0, 0, 0, 0, 0, 0 
prime-O1, 3724, 10783, 10784, 80, 49748, 25152, 3497, 8, 431, 2, 435, 6, 0, 0, 0, 0, 0, 0 
prime-O2, 3719, 10754, 10755, 70, 49112, 24184, 3486, 8, 431, 2, 433, 6, 0, 0, 0, 0, 0, 0 
ud-O2, 5535, 11715, 11716, 410, 540504, 509504, 2968, 30, 124, 55, 57, 20, 0, 0, 0, 0, 0, 0 
